!!SCT,AO,,,,,,
!!ID,VALUE,DESC,TYPE,STATION,ITIME,MAXVAL,BSET
SXS2502_BK_B_YYZ,33.029686,实训室2502开关B油压,0,实训室,0,0,0
SXS2502_BK_C_SF6Z,0.7,实训室2502开关C相SF6,0,实训室,0,0,0
SXS2502_BK_C_YYZ,33.029686,实训室2502开关C油压,0,实训室,0,0,0
SXS2503_BK_A_SF6Z,0.7,实训室2503开关A相SF6,0,实训室,0,0,0
SXS2503_BK_A_YYZ,33.029686,实训室2503开关A油压,0,实训室,0,0,0
SXS2503_BK_B_SF6Z,0.7,实训室2503开关B相SF6,0,实训室,0,0,0
SXS2503_BK_B_YYZ,33.029686,实训室2503开关B油压,0,实训室,0,0,0
SXS2503_BK_C_SF6Z,0.7,实训室2503开关C相SF6,0,实训室,0,0,0
SXS2503_BK_C_YYZ,33.029686,实训室2503开关C油压,0,实训室,0,0,0
SXS2001_BK_A_SF6Z,0.7,实训室2001开关A相SF6,0,实训室,0,0,0
SXS2001_BK_A_YYZ,33.029686,实训室2001开关A油压,0,实训室,0,0,0
SXS2001_BK_B_SF6Z,0.7,实训室2001开关B相SF6,0,实训室,0,0,0
SXS2001_BK_B_YYZ,33.029686,实训室2001开关B油压,0,实训室,0,0,0
SXS2001_BK_C_SF6Z,0.7,实训室2001开关C相SF6,0,实训室,0,0,0
SXS2001_BK_C_YYZ,33.029686,实训室2001开关C油压,0,实训室,0,0,0
SXS2002_BK_A_SF6Z,0.7,实训室2002开关A相SF6,0,实训室,0,0,0
SXS2002_BK_A_YYZ,33.029686,实训室2002开关A油压,0,实训室,0,0,0
SXS2002_BK_B_SF6Z,0.7,实训室2002开关B相SF6,0,实训室,0,0,0
SXS2002_BK_B_YYZ,33.029686,实训室2002开关B油压,0,实训室,0,0,0
SXS2002_BK_C_SF6Z,0.7,实训室2002开关C相SF6,0,实训室,0,0,0
SXS2002_BK_C_YYZ,33.029686,实训室2002开关C油压,0,实训室,0,0,0
SXS1301_BK_A_SF6Z,0.7,实训室1301开关A相SF6,0,实训室,0,0,0
SXS1301_BK_A_YYZ,33.029686,实训室1301开关A油压,0,实训室,0,0,0
SXS1301_BK_B_SF6Z,0.7,实训室1301开关B相SF6,0,实训室,0,0,0
SXS1301_BK_B_YYZ,33.029686,实训室1301开关B油压,0,实训室,0,0,0
SXS1301_BK_C_SF6Z,0.7,实训室1301开关C相SF6,0,实训室,0,0,0
SXS1301_BK_C_YYZ,33.029686,实训室1301开关C油压,0,实训室,0,0,0
SXS301_BK_SF6Z,0.7,实训室301开关SF6,0,实训室,0,0,0
SXS301_BK_YYZ,33.029686,实训室301开关油压,0,实训室,0,0,0
SXS302_BK_SF6Z,0.7,实训室302开关SF6,0,实训室,0,0,0
SXS302_BK_YYZ,33.029686,实训室302开关油压,0,实训室,0,0,0
SXS303_BK_SF6Z,0.7,实训室303开关SF6,0,实训室,0,0,0
SXS303_BK_YYZ,33.029686,实训室303开关油压,0,实训室,0,0,0
