!!SCT,DO,,,,,,,
!!ID,STATE,DESC,STATES,TYPE,STATION,PORT,ITIME,BSET
SXS501327_SW_C_IOPENC,0,实训室501327地刀C相状态,0,0,实训室,0,0,0
SXS501367_SW_HW,1,实训室501367地刀合位,1,0,实训室,0,0,0
SXS501367_SW_A_IOPENA,0,实训室501367地刀A相状态,0,0,实训室,0,0,0
SXS501367_SW_B_IOPENB,0,实训室501367地刀B相状态,0,0,实训室,0,0,0
SXS501367_SW_C_IOPENC,0,实训室501367地刀C相状态,0,0,实训室,0,0,0
SXS5021_BK_A_HWJ,1,实训室5021开关A相合位继电器状态,1,0,实训室,0,0,0
SXS5021_BK_A_IOPENA,0,实训室5021开关A相状态,0,0,实训室,0,0,0
SXS5021_BK_B_HWJ,1,实训室5021开关B相合位继电器状态,1,0,实训室,0,0,0
SXS5021_BK_B_IOPENB,0,实训室5021开关B相状态,0,0,实训室,0,0,0
SXS5021_BK_C_HWJ,1,实训室5021开关C相合位继电器状态,1,0,实训室,0,0,0
SXS5021_BK_C_IOPENC,0,实训室5021开关C相状态,0,0,实训室,0,0,0
SXS50211_SW_HW,1,实训室50211刀闸合位,1,0,实训室,0,0,0
SXS50211_SW_A_IOPENA,0,实训室50211刀闸A相状态,0,0,实训室,0,0,0
SXS50211_SW_B_IOPENB,0,实训室50211刀闸B相状态,0,0,实训室,0,0,0
SXS50211_SW_C_IOPENC,0,实训室50211刀闸C相状态,0,0,实训室,0,0,0
SXS50212_SW_HW,1,实训室50212刀闸合位,1,0,实训室,0,0,0
SXS50212_SW_A_IOPENA,0,实训室50212刀闸A相状态,0,0,实训室,0,0,0
SXS50212_SW_B_IOPENB,0,实训室50212刀闸B相状态,0,0,实训室,0,0,0
SXS50212_SW_C_IOPENC,0,实训室50212刀闸C相状态,0,0,实训室,0,0,0
SXS502117_SW_HW,1,实训室502117地刀合位,1,0,实训室,0,0,0
SXS502117_SW_A_IOPENA,0,实训室502117地刀A相状态,0,0,实训室,0,0,0
SXS502117_SW_B_IOPENB,0,实训室502117地刀B相状态,0,0,实训室,0,0,0
SXS502117_SW_C_IOPENC,0,实训室502117地刀C相状态,0,0,实训室,0,0,0
SXS502127_SW_HW,1,实训室502127地刀合位,1,0,实训室,0,0,0
SXS502127_SW_A_IOPENA,0,实训室502127地刀A相状态,0,0,实训室,0,0,0
SXS502127_SW_B_IOPENB,0,实训室502127地刀B相状态,0,0,实训室,0,0,0
SXS502127_SW_C_IOPENC,0,实训室502127地刀C相状态,0,0,实训室,0,0,0
SXS502167_SW_HW,1,实训室502167地刀合位,1,0,实训室,0,0,0
SXS502167_SW_A_IOPENA,0,实训室502167地刀A相状态,0,0,实训室,0,0,0
SXS502167_SW_B_IOPENB,0,实训室502167地刀B相状态,0,0,实训室,0,0,0
SXS502167_SW_C_IOPENC,0,实训室502167地刀C相状态,0,0,实训室,0,0,0
SXS5022_BK_A_HWJ,1,实训室5022开关A相合位继电器状态,1,0,实训室,0,0,0
SXS5022_BK_A_IOPENA,0,实训室5022开关A相状态,0,0,实训室,0,0,0
SXS5022_BK_B_HWJ,1,实训室5022开关B相合位继电器状态,1,0,实训室,0,0,0
